Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"Jenkins, Lynn",ks,Republican,0.522,2.353831291,0.0,0.635617279212,0.058304301309,0.6376636095,0.743494472579,0.518983595057,0.600564772777,0.0838448793541,0.596919405352,0.761372517001,0.479088026605,0.616550597573,0.0854992853471,0.6106232902,0.760915612099,0.478087152092,0.306590896429
"Bilirakis, Gus",fl,Republican,0.392,1.376384139,0.0,0.719268912555,0.0551248395663,0.722948606027,0.82885692811,0.614036462228,0.519629525108,0.0800012758919,0.518428218378,0.68677073318,0.390954565051,0.531716157183,0.0716289966688,0.530917910691,0.669025882928,0.399072683085,0.846088435374
"Meng, Grace",ny,Democratic,-0.386,1.693412066,0.0,0.646312830559,0.0556701682924,0.645058226854,0.739222730223,0.535056515095,0.196329056213,0.0817183554861,0.180285423854,0.375606164915,0.0693185708046,0.256137632267,0.071539722611,0.261696653425,0.390190316995,0.111530579384,1.0
"Tiberi, Patrick",oh,Republican,0.386,2.083742857,0.0,0.71145255513,0.0534175083355,0.711817106347,0.801540068401,0.605454804745,0.59696628585,0.0855251130425,0.601920159164,0.771479670969,0.458530573192,0.61085458898,0.0809670000799,0.598085687067,0.77104892156,0.484317484924,0.608553299492
"Tonko, Paul",ny,Democratic,-0.423,0.201056048,0.0,0.0645626259274,0.068577378459,0.0468987913951,0.218546290798,0.0,0.181619018126,0.0904175772632,0.170024663121,0.358523069829,0.0182668000858,0.0741571503207,0.0698537305202,0.0689770118259,0.2178929219,0.0,0.529974669294
"Foxx, Virginia",nc,Republican,0.65,3.861476183,0.0,0.728696176008,0.0753355522677,0.730837834595,0.873792495307,0.58271718417,0.511318333101,0.0751816863342,0.510254439937,0.674944389698,0.395317050683,0.55845889366,0.0784835176767,0.559211300212,0.71095361874,0.420786743698,0.873525929434
"Scalise, Steve",la,Republican,0.559,0.814145982,0.0,0.973962716518,0.0357015769239,0.997140168859,1.0,0.877703149664,0.79794284413,0.115599646435,0.780640256379,1.0,0.597378211635,0.854801410716,0.11090366069,0.864443760917,1.0,0.642971679383,0.743837209302
"Butterfield, G.",nc,Democratic,-0.421,1.012467861,0.0,0.395832518999,0.0718584519972,0.400875596103,0.536273153792,0.25087750538,0.262774365997,0.0843551919539,0.256877213605,0.448662288639,0.114533904961,0.282726759851,0.0695969326786,0.281173621317,0.438451699084,0.155769862645,0.609310563604
"Marino, Tom",pa,Republican,0.357,1.095970869,0.0,0.681071684902,0.0558219268319,0.680392418716,0.783437941251,0.569821488912,0.790001640504,0.106392886991,0.770787486167,0.991662910773,0.633376568497,0.791466294546,0.102090874291,0.789883360394,0.984036801209,0.615094050213,0.485723408137
"Turner, Michael",oh,Republican,0.266,0.520330608,0.0,0.635404087826,0.0635056922192,0.637020991159,0.765789942513,0.518283342186,0.65477548713,0.0920951598664,0.646150841412,0.845720471146,0.503316847571,0.65377875343,0.0863648844913,0.65389605986,0.810515710592,0.516137551575,0.207308938441
"Larsen, Rick",wa,Democratic,-0.372,0.270380348,0.0,0.791000803373,0.0842733251464,0.793031565341,0.927930646175,0.603668637982,0.410593460853,0.0870146116275,0.40963590258,0.574063954603,0.258470241323,0.436639544849,0.093410351437,0.438856768414,0.620499290024,0.245220259793,0.970824111754
"Weber, Randy",tx,Republican,0.714,0.076157592,0.0,0.944273250027,0.0494128315357,0.948477455744,1.0,0.817622869608,0.810470451105,0.100302479128,0.809090655167,1.0,0.668327015609,0.829799716188,0.101726135439,0.822566764435,1.0,0.682108960746,0.622624434389
"Upton, Fred",mi,Republican,0.337,3.304659605,0.0,0.66637499151,0.0578073106372,0.663392717512,0.792290530974,0.55296780712,0.66687151152,0.0919764842697,0.658289411047,0.844393275312,0.516015212664,0.662279068514,0.0869551602707,0.668193043437,0.809020854543,0.498317012359,0.185316144874
"Royce, Edward",ca,Republican,0.666,6.752827168,0.0,0.72916184797,0.059807314751,0.727940087913,0.843075356877,0.604416184003,0.477338310406,0.0804927598055,0.471111257645,0.649566891537,0.355508685247,0.484848342469,0.069390338953,0.483171297127,0.610861744154,0.364223157761,0.916658531824
"Keating, William",ma,Democratic,-0.335,0.045694556,0.0,0.682351685728,0.0486969820462,0.684240009456,0.766868758377,0.567509130254,0.219677043921,0.0805881950364,0.194331751015,0.40559170357,0.0970681285882,0.265291649866,0.0674373078411,0.266799186408,0.388955421621,0.144169002352,1.0
